10cm 20cm  30cm  40cm  50cm  60cm  70cm  80cm  90cm  100cm
79.0 182.0 258.0 472.0 400.0 399.0 670.0 547.0 797.0 676.0
69.0 175.0 253.0 448.0 450.0 383.0 587.0 688.0 599.0 691.0
87.0 190.0 254.0 454.0 400.0 524.0 516.0 740.0 646.0 640.0
76.0 193.0 290.0 455.0 550.0 509.0 458.0 765.0 698.0 683.0
61.0 186.0 343.0 409.0 349.0 613.0 432.0 541.0 584.0 761.0
42.0 201.0 255.0 334.0 354.0 608.0 532.0 666.0 763.0 713.0
48.0 214.0 234.0 321.0 580.0 485.0 407.0 675.0 580.0 729.0
75.0 175.0 214.0 305.0 490.0 550.0 561.0 441.0 508.0 811.0
25.0 220.0 263.0 268.0 520.0 495.0 461.0 612.0 501.0 549.0
74.0 202.0 297.0 242.0 300.0 389.0 465.0 538.0 540.0 575.0

